Petal.Length,Petal.Width,Sepal.Length,Sepal.Width,Species,predict
1.5,0.2,5,3.4,setosa,setosa
4.5,1.6,6,3.4,versicolor,versicolor
4.2,1.3,5.7,2.9,versicolor,versicolor
1.5,0.4,5.4,3.4,setosa,setosa
4.5,1.5,5.6,3,versicolor,versicolor
5.6,2.4,6.3,3.4,virginica,virginica
4.9,1.5,6.9,3.1,versicolor,versicolor
1.4,0.2,5.2,3.4,setosa,setosa
4,1.3,5.5,2.5,versicolor,versicolor
1.6,0.4,5,3.4,setosa,setosa
1.5,0.3,5.1,3.8,setosa,setosa
1.5,0.1,5.2,4.1,setosa,setosa
3.5,1,5,2,versicolor,versicolor
4.9,1.5,6.3,2.5,versicolor,virginica
5.7,2.3,6.9,3.2,virginica,virginica
5.2,2,6.5,3,virginica,virginica
1.4,0.3,5.1,3.5,setosa,setosa
1,0.2,4.6,3.6,setosa,setosa
4.5,1.5,6,2.9,versicolor,versicolor
6.4,2,7.9,3.8,virginica,virginica
4,1.3,5.5,2.3,versicolor,versicolor
4.5,1.7,4.9,2.5,virginica,versicolor
1.2,0.2,5.8,4,setosa,setosa
1.4,0.2,4.6,3.2,setosa,setosa
4.9,1.8,6.3,2.7,virginica,virginica
1.4,0.1,4.8,3,setosa,setosa
4.3,1.3,6.4,2.9,versicolor,versicolor
1.4,0.2,4.9,3,setosa,setosa
4.8,1.8,6,3,virginica,virginica
3.3,1,5,2.3,versicolor,versicolor
5.1,1.9,5.8,2.7,virginica,virginica
6.7,2.2,7.7,3.8,virginica,virginica
3.5,1,5.7,2.6,versicolor,versicolor
1.7,0.5,5.1,3.3,setosa,setosa
1.6,0.2,5.1,3.8,setosa,setosa
1.5,0.2,4.6,3.1,setosa,setosa
4.7,1.4,6.1,2.9,versicolor,versicolor
5.7,2.5,6.7,3.3,virginica,virginica
6.9,2.3,7.7,2.6,virginica,virginica
1.5,0.4,5.7,4.4,setosa,setosa
4.6,1.4,6.1,3,versicolor,versicolor
4.8,1.8,5.9,3.2,versicolor,virginica
1.5,0.1,4.9,3.1,setosa,setosa
1.1,0.1,4.3,3,setosa,setosa
5.4,2.1,6.9,3.1,virginica,virginica
